dtc_molregno,chembl_id,compound_name,standard_inchi_key,bioactivities
DTCC00123547,CHEMBL572881,MOTESANIB,RAHBGWKEPAQNFF-UHFFFAOYSA-N,398
DTCC00543709,CHEMBL477772,PAZOPANIB,CUIHSIWYWATEQL-UHFFFAOYSA-N,397
DTCC00620324,CHEMBL601719,CRIZOTINIB,KTEIFNKAUNYNJU-GFCCVEGCSA-N,393
DTCC00123549,CHEMBL558752,CHIR-265,YABJJWZLRMPFSI-UHFFFAOYSA-N,392
DTCC00040571,CHEMBL1908396,KI-20227,SHPFDGWALWEPGS-UHFFFAOYSA-N,392
DTCC00457407,CHEMBL230011,TG100-115,UJIAQDJKSXQLIT-UHFFFAOYSA-N,391
DTCC01089561,CHEMBL1789941,RUXOLITINIB,HFNKQEVNSGCOJV-OAHLLOKOSA-N,389
DTCC00544621,CHEMBL513909,BI-2536,XQVVPGYIWAGRNI-JOCHJYFZSA-N,389
DTCC00655512,CHEMBL1173655,AFATINIB,ULXXDDBFHOBEHA-CWDCEQMOSA-N,389
DTCC00442949,CHEMBL223360,LINIFANIB,MPVGZUGXCQEXTM-UHFFFAOYSA-N,388
DTCC00271377,CHEMBL103667,DORAMAPIMOD,MVCOAUNKQVWQHZ-UHFFFAOYSA-N,387
DTCC01738580,CHEMBL941,IMATINIB,KTUFNOKKBVMGRW-UHFFFAOYSA-N,387
DTCC00126134,CHEMBL1230020,PLX-4720,YZDJQTHVDDOVHR-UHFFFAOYSA-N,384
DTCC00380148,CHEMBL180022,NERATINIB,JWNPDZNEKVCWMY-VQHVLOKHSA-N,384
DTCC01156878,CHEMBL1908391,MASITINIB,WJEOLQLKVOPQFV-UHFFFAOYSA-N,383
DTCC00302478,CHEMBL124660,TANDUTINIB,UXXQOJXBIDBUAC-UHFFFAOYSA-N,383
DTCC00200114,CHEMBL300138,ENZASTAURIN,AXRCEOKUDYDWLF-UHFFFAOYSA-N,382
DTCC00418724,CHEMBL377300,BRIVANIB,WCWUXEGQKLTGDX-LLVKDONJSA-N,381
DTCC00599361,CHEMBL576982,QUIZARTINIB,CVWXJKQAOSCOAB-UHFFFAOYSA-N,380
