compound_id,standard_inchi_key,compound_name,bioactivities
CHEMBL2218926,ABBADGFSRBWENF-UHFFFAOYSA-N,AG1024,722
CHEMBL406375,DZQLVVLATXPWBK-UHFFFAOYSA-N,GTP-14564,722
CHEMBL2218935,FNZTULJDGIXMJJ-UHFFFAOYSA-N,FLT-3 INHIBITOR III,722
CHEMBL284861,JDSJDASOXWCHPN-UHFFFAOYSA-N,,722
CHEMBL83980,OPQGFIAVPSXOBO-UHFFFAOYSA-N,BOHEMINE,722
CHEMBL179583,UXGJAOIJSROTTN-UHFFFAOYSA-N,BML-277,722
CHEMBL405759,VPVLEBIVXZSOMQ-UHFFFAOYSA-N,TWS119,722
CHEMBL311228,XZEFMZCNXDQXOZ-UHFFFAOYSA-N,,722
CHEMBL203644,DLPSDPPZXRJQOY-UHFFFAOYSA-N,HDS029,721
CHEMBL80713,NQVIIUBWMBHLOZ-UHFFFAOYSA-N,CVT-313,721
CHEMBL413188,WXUJAQBSBZLVEV-UHFFFAOYSA-N,ISOGRANULATIMIDE,721
CHEMBL259551,XVECMUKVOMUNLE-UHFFFAOYSA-N,FR180204,721
CHEMBL359482,JYCUVOXSZBECAY-UHFFFAOYSA-N,GSK-3 INHIBITOR XIII,720
CHEMBL377193,NIMIWWQLOGNYHD-UHFFFAOYSA-N,FLT-3 INHIBITOR II,720
CHEMBL383899,RDTDWGQDFJPTPD-UHFFFAOYSA-N,ANILINOPYRIMIDINE1,720
CHEMBL367625,UTBSBSOBZHXMHI-LSDHHAIUSA-N,CGP74514A,719
CHEMBL439259,YBLWOZUPHDKFOT-UHFFFAOYSA-N,AB1004858,719
CHEMBL477772,CUIHSIWYWATEQL-UHFFFAOYSA-N,PAZOPANIB,716
CHEMBL1221601,HLCDNLNLQNYZTK-UHFFFAOYSA-N,CGK733,716
CHEMBL155333,LLLQTDSSHZREGW-AATRIKPKSA-N,KN93,715
CHEMBL71191,QNOXYUNHIGOWNY-UHFFFAOYSA-N,AG1296,715
CHEMBL35820,YXOXHAUUTIOBDA-UHFFFAOYSA-N,,715
CHEMBL7463,QMGUOJYZJKLOLH-UHFFFAOYSA-N,GF-109203,714
